Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,AFG,5.37777811911111E+08,5.48888894577778E+08,5.46666678044444E+08,7.51111190755556E+08,8.00000045511111E+08,1.00666663822222E+09,1.39999996586667E+09,1.67333341866667E+09,1.37333336746667E+09,1.40888892302222E+09,1.74888659626667E+09,1.83110897208889E+09,1.59555547591111E+09,1.73333326506667E+09,2.15555549866667E+09,2.36666661546667E+09,2.55555556693333E+09,2.95333341866667E+09,3.30000010808889E+09,3.69794034514177E+09,3.64172344718433E+09,3.47878790981818E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46166631478366E+09,4.12881804225508E+09,4.58364892164112E+09,5.28546199933739E+09,6.27507601647174E+09,7.05759761445076E+09,9.84385100941462E+09,1.01905346366444E+10,1.24869504681773E+10,1.59367844372240E+10,1.78701590817870E+10,2.05067952544884E+10,2.03096710146236E+10,0
Albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92424245300793E+09,1.96538458624090E+09,2.17375001250000E+09,2.15662490000000E+09,2.12600000000000E+09,2.33512498750000E+09,2.10162496250000E+09,1.13916667601094E+09,7.09452572338241E+08,1.22807103784446E+09,1.98567302602143E+09,2.42449895326963E+09,3.01321785303299E+09,2.19622371370143E+09,2.72774545316221E+09,3.43440245329471E+09,3.68664938683962E+09,4.09102024919950E+09,4.44937345528143E+09,5.65232508183146E+09,7.46444695018143E+09,8.37648339394155E+09,9.13255809686514E+09,1.07010115240982E+10,1.28813535078539E+10,1.20442080858640E+10,1.19269572546288E+10,1.28908667426533E+10,1.23445296280617E+10,1.29232402783416E+10,0
Algeria,DZA,2.72363762040390E+09,2.43476686627333E+09,2.00146083878378E+09,2.70300400992404E+09,2.90934011472260E+09,3.13628438514828E+09,3.03985926824911E+09,3.37087046113558E+09,3.85214711284503E+09,4.25725335844365E+09,4.86348755723350E+09,5.07722233006931E+09,6.76178648371017E+09,8.71510612863411E+09,1.32097137700892E+10,1.55579344728677E+10,1.77283483852440E+10,2.09719010629845E+10,2.63644916746159E+10,3.32434213393774E+10,4.23452762875934E+10,4.43486707240831E+10,4.52070906678674E+10,4.88013722275528E+10,5.36982803225824E+10,5.79378677174636E+10,6.36962999850409E+10,6.67422690896987E+10,5.90890655168692E+10,5.56314882938976E+10,6.20450983700829E+10,4.57153681439784E+10,4.80032972488691E+10,4.99464566812384E+10,4.25425736021669E+10,4.17640540346543E+10,4.69414963082845E+10,4.81778618908881E+10,4.81877801261819E+10,4.86406135150702E+10,5.47900589573718E+10,5.47447167063542E+10,5.67602889615829E+10,6.78638326482897E+10,8.53249973695015E+10,1.03198650297779E+11,1.17026655313743E+11,1.34977867931582E+11,1.71000162581484E+11,1.37211795394166E+11,1.61207304960455E+11,1.99070864637558E+11,2.04331017992080E+11,2.10183410526104E+11,0
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,ADO,0,0,0,0,0,0,0,0,0,0,7.86175703229253E+07,8.94066595140116E+07,1.13414331870944E+08,1.50841699110766E+08,1.86557164008677E+08,2.20112850775998E+08,2.27284165925171E+08,2.53998069145235E+08,3.08020384395950E+08,4.11548246761169E+08,4.46377494880496E+08,3.88983013897495E+08,3.75914742918141E+08,3.27849949003210E+08,3.30073024937292E+08,3.46742901743383E+08,4.81996232885864E+08,6.11300198459120E+08,7.21426027475386E+08,7.95489397964069E+08,1.02898943940715E+09,1.10689094298847E+09,1.20999260428817E+09,1.00709089643735E+09,1.01754461909316E+09,1.17874526182826E+09,1.22402346969136E+09,1.18064603701274E+09,1.21195395356155E+09,1.23984026563345E+09,1.13364429454250E+09,1.26476024644075E+09,1.45619879629382E+09,1.91794847527513E+09,2.32216350226295E+09,2.53975928592747E+09,2.82350385262328E+09,3.24541158371970E+09,3.71203426650674E+09,0,0,0,0,0,0
Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.80427806262664E+09,6.35584917935458E+09,7.38312165367413E+09,7.97523406737627E+09,9.28305457620060E+09,1.02601933606806E+10,1.21937466246789E+10,5.77939429175820E+09,5.28560005034550E+09,4.05935215305368E+09,5.03955248242778E+09,7.52644660551712E+09,7.64837741283277E+09,6.44504182466621E+09,6.15292294298032E+09,9.12959481860749E+09,8.93607925277131E+09,1.24973460421583E+10,1.41889492398883E+10,1.96408625499734E+10,2.82336993336996E+10,4.17894931917536E+10,6.04488875827354E+10,8.41780841353609E+10,7.54924165229248E+10,8.24708948683337E+10,1.04115867663458E+11,1.15341559475426E+11,1.24178241815737E+11,0
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61444432762914E+07,7.48555542335588E+07,9.22407391117105E+07,1.10066664722819E+08,1.24462960764868E+08,1.37951849415534E+08,1.53270367663518E+08,1.73511108046794E+08,2.01862959397935E+08,2.45896291953611E+08,2.86474069014760E+08,3.38696290314704E+08,3.73403697109157E+08,3.91570363454988E+08,4.10388881641160E+08,4.23762955479039E+08,4.56537028974302E+08,5.00088880057001E+08,4.94185176457560E+08,5.41074064518361E+08,5.79851841611299E+08,6.20037026086788E+08,6.51851840339733E+08,7.83837838008776E+08,7.73765171519999E+08,8.02529319160154E+08,8.39996355535500E+08,8.98356132282607E+08,9.97374093496849E+08,1.13514357254523E+09,1.28925431056428E+09,1.34734985185185E+09,1.20641037037037E+09,1.13553903703704E+09,1.12991837037037E+09,1.20471311111111E+09,1.20058751851852E+09,0
Arab World,ARB,0,0,0,0,0,0,0,0,2.56663748941163E+10,2.83163058410547E+10,3.09105279868433E+10,3.58949220540846E+10,4.27615044154761E+10,5.43460112040674E+10,1.04171520718403E+11,1.15559945557010E+11,1.43926191662762E+11,1.65859385896380E+11,1.83388384317175E+11,2.47383069811542E+11,3.36533958404118E+11,3.46360975887592E+11,3.22732035751819E+11,3.02612254596354E+11,3.06654358897441E+11,3.02696147462800E+11,2.88018424182820E+11,3.11557517066344E+11,3.06163221843082E+11,3.20902061204838E+11,4.43859896980229E+11,4.36805584515447E+11,4.67834483657110E+11,4.73299323397529E+11,4.84261108020598E+11,5.20049266473856E+11,5.74468177973690E+11,6.09294244518064E+11,5.87494764644898E+11,6.34118560209881E+11,7.26012626653227E+11,7.13007194598152E+11,7.24009906745738E+11,8.15538537451947E+11,9.59405027973279E+11,1.17610011361377E+12,1.39982284275385E+12,1.63866868514615E+12,2.07957072719008E+12,1.79175293739652E+12,2.09788431003028E+12,2.48790532434704E+12,2.74438070577677E+12,2.85307942210394E+12,0
Argentina,ARG,0,0,2.44506048776081E+10,1.82721236644715E+10,2.56052493817597E+10,2.83447059675816E+10,2.86304747263365E+10,2.42566675546200E+10,2.64368572480056E+10,3.12562845447361E+10,3.15842103645523E+10,3.32931990946727E+10,3.47330005364685E+10,5.25440001172532E+10,7.24367773419953E+10,5.24386479218723E+10,5.11694998907757E+10,5.67810001009442E+10,5.80828701562650E+10,6.92523289533803E+10,7.69619237419469E+10,7.86768423664213E+10,8.43074868367240E+10,1.03979106777911E+11,7.90920019980320E+10,8.84166689002596E+10,1.10934442762694E+11,1.11106191358197E+11,1.26206817196091E+11,7.66368980364712E+10,1.41352368714691E+11,1.89719989668103E+11,2.28779382768151E+11,2.36753563469871E+11,2.57440000000000E+11,2.58031750000000E+11,2.72149750000000E+11,2.92859000000000E+11,2.98948250000000E+11,2.83523000000000E+11,2.84203750000000E+11,2.68696750000000E+11,1.02040286874385E+11,1.29597154256313E+11,1.83295704305310E+11,2.22907566120932E+11,2.64489701813206E+11,3.29761480066765E+11,4.06003733832970E+11,3.78496221140697E+11,4.62703793707187E+11,5.57727273772913E+11,6.03153016502593E+11,6.09888971036196E+11,0
Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25683885842714E+09,2.06852652190299E+09,1.27257752176830E+09,1.20131319645626E+09,1.31515867047971E+09,1.46831735002343E+09,1.59696891319202E+09,1.63949242438103E+09,1.89372643735976E+09,1.84548218148539E+09,1.91156366539006E+09,2.11846791337873E+09,2.37633504839976E+09,2.80706100869084E+09,3.57661524041616E+09,4.90043675850466E+09,6.38445774444765E+09,9.20630170039619E+09,1.16620407138753E+10,8.64793674798704E+09,9.26028741606014E+09,1.01423427699464E+10,9.95821788033776E+09,1.04321695712500E+10,0
